# Accelerometer Data File
# Started @Tue Apr 26 12:52:50 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.095 8.159 4.328 0
-0.095 8.159 4.328 10
-0.076 8.159 4.271 0
-0.076 8.159 4.271 10
-0.057 8.14 4.29 0
-0.057 8.14 4.29 10
-0.153 8.083 4.405 0
-0.153 8.083 4.405 10
-0.306 8.043 4.52 10
0.0 8.14 4.635 0
0.0 8.14 4.635 10
0.038 8.024 4.558 10
-0.076 8.102 4.443 10
0.229 8.024 4.367 0
0.229 8.024 4.367 10
0.0 8.005 4.52 0
0.0 8.005 4.52 10
0.076 8.062 4.539 10
0.076 8.024 4.482 10
-0.038 8.102 4.616 0
-0.038 8.102 4.616 10
0.134 8.043 4.558 0
0.134 8.043 4.558 10
-0.076 8.005 4.597 10
0.0 8.083 4.731 0
0.0 8.083 4.731 10
0.114 8.083 4.654 10
-0.057 8.062 4.673 0
-0.057 8.062 4.673 10
-0.038 8.062 4.52 0
-0.038 8.062 4.52 10
0.114 8.102 4.807 10
0.095 7.987 4.75 10
0.0 7.949 4.692 1
0.0 7.949 4.692 10
0.038 8.062 4.769 8
0.019 7.987 4.462 1
0.019 7.987 4.462 10
-0.057 8.102 4.673 0
-0.057 8.102 4.673 10
0.095 8.102 4.865 10
0.019 7.91 4.846 0
0.019 7.91 4.846 10
0.325 8.024 4.654 0
0.325 8.024 4.654 10
0.019 7.853 4.96 10
0.287 7.949 4.443 0
0.287 7.949 4.443 10
0.172 8.102 4.731 10
0.019 8.083 4.443 10
0.019 8.102 4.577 0
0.019 8.102 4.577 10
0.114 8.043 4.539 0
0.114 8.043 4.539 10
0.134 8.024 4.597 9
0.287 8.043 4.731 10
0.363 8.005 4.539 1
0.363 8.005 4.539 10
0.306 7.949 4.424 0
0.306 7.949 4.424 10
0.306 8.024 4.462 10
0.325 7.968 4.539 9
0.306 7.949 4.673 1
0.306 7.949 4.673 10
0.268 7.968 4.673 0
0.268 7.968 4.673 10
0.306 7.987 4.539 10
0.249 8.005 4.462 9
0.249 8.043 4.405 1
0.249 8.043 4.405 10
0.191 8.083 4.539 0
0.191 8.083 4.539 10
0.229 8.024 4.462 0
0.229 8.024 4.462 10
0.229 8.005 4.52 10
0.191 8.024 4.577 9
0.153 7.987 4.635 1
0.153 7.987 4.635 10
0.134 8.043 4.769 9
0.076 8.062 4.692 1
0.076 8.062 4.692 10
0.038 8.024 4.75 9
0.038 8.005 4.731 1
0.038 8.005 4.731 10
0.114 7.987 4.865 10
0.134 7.949 4.922 10
0.191 7.968 4.846 0
0.191 7.968 4.846 10
0.172 7.987 4.75 10
0.153 8.005 4.692 0
0.153 8.005 4.692 10
0.172 8.005 4.654 9
0.153 7.949 4.731 1
0.153 7.949 4.731 10
0.287 7.968 4.462 0
0.287 7.968 4.462 10
0.287 8.005 4.501 0
0.287 8.005 4.501 10
0.306 8.005 4.501 10
0.268 7.853 4.539 9
0.421 7.853 4.788 1
0.421 7.853 4.788 10
0.249 7.872 4.846 9
0.498 7.91 4.807 1
0.498 7.91 4.807 10
0.44 7.872 5.075 9
0.421 7.776 4.999 1
0.421 7.776 4.999 10
0.363 7.68 5.305 0
0.363 7.68 5.305 10
0.325 7.757 5.229 10
0.306 7.814 5.19 9
0.134 7.795 5.018 1
0.134 7.795 5.018 10
0.114 7.834 4.865 0
0.114 7.834 4.865 10
0.191 7.834 4.903 10
0.134 7.834 4.75 9
0.268 7.814 4.788 1
0.268 7.814 4.788 10
0.0 7.949 4.807 0
0.0 7.949 4.807 10
0.268 7.738 4.922 9
0.134 7.929 5.229 1
0.134 7.929 5.229 10
0.134 7.814 5.19 0
0.134 7.814 5.19 10
0.344 7.661 5.229 0
0.344 7.661 5.229 10
0.191 7.738 5.382 9
0.076 7.738 5.171 1
0.076 7.738 5.171 10
0.095 7.7 5.209 0
0.095 7.7 5.209 10
