# Accelerometer Data File
# Started @Tue May 03 09:23:04 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
2.336 5.458 7.431 0
2.336 5.458 7.431 10
2.202 5.018 8.102 0
2.202 5.018 8.102 10
2.49 4.482 7.738 0
2.49 4.482 7.738 10
2.604 4.309 7.125 10
2.566 4.271 7.01 10
2.777 4.788 7.029 0
2.777 4.788 7.029 10
2.777 5.305 7.259 10
2.949 6.205 8.791 0
2.949 6.205 8.791 10
2.126 6.531 10.209 10
2.241 6.435 10.266 0
2.241 6.435 10.266 10
1.915 6.34 7.987 0
1.915 6.34 7.987 10
1.379 5.439 6.627 0
1.379 5.439 6.627 10
1.225 4.731 5.229 10
1.302 4.731 4.75 10
1.321 4.424 4.52 9
1.494 4.079 4.922 0
1.494 4.079 4.922 10
1.743 3.505 5.899 10
1.187 3.486 6.818 0
1.187 3.486 6.818 10
0.785 3.677 6.589 1
0.785 3.677 6.589 10
0.881 5.344 6.129 0
0.881 5.344 6.129 10
0.804 6.301 6.608 9
0.9 6.474 8.005 1
0.9 6.474 8.005 10
0.747 5.707 8.906 9
0.229 4.405 7.91 0
0.229 4.405 7.91 10
0.881 3.543 6.646 1
0.881 3.543 6.646 10
0.881 3.601 6.225 10
-1.072 4.002 6.646 9
-1.264 4.731 8.6 1
-1.264 4.731 8.6 10
0.019 5.133 10.343 9
-0.766 5.516 9.941 1
-0.766 5.516 9.941 10
-0.114 5.478 9.615 10
-0.383 5.727 9.577 9
-0.9 6.052 8.676 0
-0.9 6.052 8.676 10
-0.861 5.803 7.757 0
-0.861 5.803 7.757 10
-0.229 5.209 7.508 10
0.229 3.754 8.274 10
-0.21 2.911 8.427 0
-0.21 2.911 8.427 10
-0.766 3.371 8.466 1
-0.766 3.371 8.466 10
-0.919 5.229 8.255 9
-0.344 5.209 8.6 1
-0.344 5.209 8.6 10
0.019 4.597 8.523 9
-0.344 4.328 7.949 10
-0.421 4.213 7.451 1
-0.421 4.213 7.451 10
-0.229 4.175 7.585 10
-0.172 4.021 7.776 9
-0.383 4.252 9.538 10
0.038 4.271 8.178 10
0.555 4.29 7.412 1
0.555 4.29 7.412 10
0.459 4.233 7.431 0
0.459 4.233 7.431 10
0.67 4.213 7.642 10
0.842 4.29 7.565 9
1.149 4.194 7.24 1
1.149 4.194 7.24 10
0.44 4.348 7.316 9
0.612 4.539 7.7 1
0.612 4.539 7.7 10
1.532 4.635 8.217 10
1.723 4.654 8.217 0
1.723 4.654 8.217 10
1.877 4.826 7.661 10
1.359 5.133 8.14 10
2.279 5.363 8.217 0
2.279 5.363 8.217 10
2.451 5.114 8.062 9
1.762 4.865 7.987 10
1.302 4.213 7.527 10
1.666 4.29 7.374 1
1.666 4.29 7.374 10
1.953 4.597 7.431 9
2.087 4.884 7.757 0
2.087 4.884 7.757 10
2.317 5.018 7.7 10
1.915 4.846 9.021 1
1.915 4.846 9.021 10
2.26 4.788 8.293 10
2.815 4.96 7.623 10
2.202 4.597 8.062 9
2.126 4.52 8.198 0
2.126 4.52 8.198 10
3.428 5.286 7.508 1
3.428 5.286 7.508 10
2.892 5.918 8.024 9
3.141 5.937 7.7 0
3.141 5.937 7.7 10
3.026 5.401 7.106 1
3.026 5.401 7.106 10
2.911 4.482 7.067 10
2.509 4.558 7.01 0
2.509 4.558 7.01 10
1.915 5.229 7.546 9
2.298 5.19 7.47 10
2.892 5.42 7.642 0
2.892 5.42 7.642 10
3.122 5.554 8.217 1
3.122 5.554 8.217 10
3.179 5.401 8.217 0
3.179 5.401 8.217 10
3.313 5.152 7.853 10
