#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
-0.019 3.045 8.791 0
-0.019 3.045 8.791 10
0.498 2.853 8.485 0
0.498 2.853 8.485 10
-0.229 2.853 8.925 0
-0.229 2.853 8.925 10
-0.498 2.892 9.385 10
0.0 2.873 8.466 0
0.0 2.873 8.466 10
0.019 3.083 8.198 10
-0.536 3.371 8.236 0
-0.536 3.371 8.236 10
-0.249 3.064 9.347 0
-0.249 3.064 9.347 10
-0.229 2.853 8.466 1
-0.229 2.853 8.466 10
-0.076 2.892 8.657 9
-0.038 2.853 8.542 0
-0.038 2.853 8.542 10
0.402 2.662 8.332 9
-0.114 2.719 8.734 1
-0.114 2.719 8.734 10
0.229 2.834 8.542 0
0.229 2.834 8.542 10
0.344 2.739 8.427 0
0.344 2.739 8.427 10
0.21 2.739 8.638 0
0.21 2.739 8.638 10
0.114 2.662 8.753 10
0.019 2.681 8.81 10
-0.172 2.681 8.772 0
-0.172 2.681 8.772 10
-0.229 2.662 8.83 0
-0.229 2.662 8.83 10
-0.459 2.624 8.676 10
-0.593 2.873 8.81 10
-0.153 3.007 8.619 0
-0.153 3.007 8.619 10
0.114 2.853 8.102 10
0.708 2.815 8.024 10
-0.249 2.643 7.355 0
-0.249 2.643 7.355 10
-0.268 3.352 8.236 9
-1.168 2.604 10.19 1
-1.168 2.604 10.19 10
-0.9 2.26 10.036 1
-0.9 2.26 10.036 10
-0.459 2.221 9.845 8
-0.478 1.953 9.308 1
-0.478 1.953 9.308 10
-0.938 1.762 9.692 0
-0.938 1.762 9.692 10
-1.168 1.896 10.19 10
-0.957 2.106 9.711 0
-0.957 2.106 9.711 10
-1.264 1.934 9.308 10
-1.015 2.03 9.289 0
-1.015 2.03 9.289 10
-1.053 2.221 9.079 10
-1.474 2.432 9.481 10
-1.245 2.528 9.615 10
-1.34 2.317 9.902 0
-1.34 2.317 9.902 10
-1.417 1.953 9.749 10
-1.168 1.915 9.634 9
-1.762 1.896 9.538 1
-1.762 1.896 9.538 10
-2.26 2.068 8.734 0
-2.26 2.068 8.734 10
-2.049 2.643 7.546 9
-1.666 2.739 7.757 1
-1.666 2.739 7.757 10
-1.647 2.873 7.872 0
-1.647 2.873 7.872 10
-0.478 2.719 6.723 0
-0.478 2.719 6.723 10
-1.781 2.336 8.427 0
-1.781 2.336 8.427 10
-2.432 2.451 14.767 10
-1.723 2.145 14.193 0
-1.723 2.145 14.193 10
-2.355 1.819 9.768 0
-2.355 1.819 9.768 10
2.585 4.002 9.347 10
-2.7 0.996 5.458 0
-2.7 0.996 5.458 10
-0.057 2.106 6.761 9
-1.072 2.873 6.684 1
-1.072 2.873 6.684 10
-1.857 3.869 7.297 0
-1.857 3.869 7.297 10
-1.972 4.002 7.642 10
-1.015 4.06 7.91 10
0.21 4.06 7.814 9
0.229 4.06 7.336 1
0.229 4.06 7.336 10
-0.057 3.792 7.01 10
-0.172 3.409 6.818 10
0.153 3.39 6.933 9
0.21 3.39 7.508 1
0.21 3.39 7.508 10
0.134 2.7 8.083 0
0.134 2.7 8.083 10
-0.268 2.375 7.814 9
-0.785 2.049 8.734 1
-0.785 2.049 8.734 10
-0.517 2.317 8.638 10
-0.344 2.509 8.159 0
-0.344 2.509 8.159 10
-0.574 3.122 8.619 10
-0.229 2.911 8.217 9
-0.517 2.662 9.059 1
-0.517 2.662 9.059 10
-0.498 2.758 9.73 0
-0.498 2.758 9.73 10
-1.206 2.662 11.339 9
-0.727 2.662 12.048 1
-0.727 2.662 12.048 10
-0.191 2.317 11.971 2
-0.191 2.317 11.971 10
-0.402 2.01 11.071 8
-0.593 2.432 9.73 1
-0.593 2.432 9.73 10
-0.498 3.026 9.347 9
-0.402 3.332 9.423 10
-0.919 3.16 9.079 10
-0.229 3.409 7.757 0
-0.229 3.409 7.757 10
-0.555 2.221 6.435 0
-0.555 2.221 6.435 10
-1.13 1.857 8.024 10
-1.149 2.087 9.002 9
-0.517 2.796 8.542 0
-0.517 2.796 8.542 10
0.249 3.045 8.561 1
0.249 3.045 8.561 10
0.402 2.815 9.308 10
0.498 2.719 9.328 9
0.517 2.49 9.194 1
0.517 2.49 9.194 10
1.015 2.394 9.117 0
1.015 2.394 9.117 10
1.494 2.355 8.542 10
1.474 2.317 8.753 0
1.474 2.317 8.753 10
1.819 2.394 8.906 9
1.187 2.624 8.715 1
1.187 2.624 8.715 10
0.536 2.758 8.734 0
0.536 2.758 8.734 10
-0.363 2.758 8.485 10
-0.612 2.758 9.04 9
-0.632 2.911 9.021 1
-0.632 2.911 9.021 10
-1.168 3.179 9.021 0
-1.168 3.179 9.021 10
-0.517 3.026 8.925 0
-0.517 3.026 8.925 10
0.383 2.547 8.504 10
0.287 2.355 8.581 0
0.287 2.355 8.581 10
0.153 2.47 8.293 0
0.153 2.47 8.293 10
0.402 2.566 8.619 0
0.402 2.566 8.619 10
0.919 1.934 9.117 9
0.287 2.355 8.791 10
-0.287 2.643 9.308 1
-0.287 2.643 9.308 10
-0.459 2.355 8.849 0
-0.459 2.355 8.849 10
-0.459 2.355 8.849 10
-0.229 2.221 8.504 9
-0.612 2.241 8.217 1
-0.612 2.241 8.217 10
-0.823 2.336 8.043 0
-0.823 2.336 8.043 10
-0.498 2.145 8.6 9
-0.421 2.202 8.581 10
-0.938 2.47 9.059 1
-0.938 2.47 9.059 10
-0.861 2.355 9.27 0
-0.861 2.355 9.27 10
-0.689 2.26 9.462 0
-0.689 2.26 9.462 10
