# Accelerometer Data File
# Started @Sat May 21 12:15:54 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-1.072 5.918 6.646 0
-1.072 5.918 6.646 10
-0.861 5.956 6.704 9
-0.785 5.956 6.857 0
-0.785 5.956 6.857 10
-0.632 6.014 7.144 1
-0.632 6.014 7.144 10
-0.67 5.976 7.259 9
-0.842 5.861 7.316 0
-0.842 5.861 7.316 10
-0.919 5.746 7.374 1
-0.919 5.746 7.374 10
-0.976 5.727 7.47 0
-0.976 5.727 7.47 10
-0.996 5.65 7.412 10
-1.015 5.593 7.316 9
-0.976 5.535 7.24 1
-0.976 5.535 7.24 10
-0.919 5.554 7.01 0
-0.919 5.554 7.01 10
-0.842 5.631 6.876 0
-0.842 5.631 6.876 10
-0.804 5.65 6.665 9
-0.785 5.688 6.684 0
-0.785 5.688 6.684 10
-0.785 5.612 6.646 0
-0.785 5.612 6.646 10
-0.612 5.612 6.818 10
-0.268 5.688 7.182 10
-0.153 5.669 7.278 0
-0.153 5.669 7.278 10
0.153 5.976 7.68 10
0.306 5.918 8.466 10
-0.038 5.554 7.336 1
-0.038 5.554 7.336 10
-0.249 5.286 6.148 9
-0.536 5.229 5.631 10
-0.574 5.267 5.42 10
-0.191 5.401 5.478 1
-0.191 5.401 5.478 10
0.191 5.631 5.727 1
0.191 5.631 5.727 10
0.344 5.688 5.65 8
0.363 5.669 5.382 0
0.363 5.669 5.382 10
0.44 5.554 5.267 0
0.44 5.554 5.267 10
0.383 5.439 5.88 1
0.383 5.439 5.88 10
0.229 5.305 6.186 1
0.229 5.305 6.186 10
-0.076 5.209 6.512 8
-0.249 5.114 6.493 0
-0.249 5.114 6.493 10
-0.172 4.846 7.316 10
0.21 4.635 8.83 0
0.21 4.635 8.83 10
0.976 5.516 9.059 0
